epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,32032.1,0.92501,0.51405,1.07141,0.81023,0.83081,0.85468,0.47703,1.43096,0.68699,1.55663,0.000187092,0.000187092,0.000187092
86,32412.7,0.92471,0.51426,1.06716,0.83624,0.83508,0.86677,0.48869,1.41952,0.66287,1.54754,0.000176094,0.000176094,0.000176094
87,32798.9,0.92327,0.52029,1.07263,0.82496,0.82337,0.84834,0.48168,1.41731,0.68098,1.54714,0.000165095,0.000165095,0.000165095
88,33179,0.92529,0.51872,1.07477,0.8303,0.83087,0.86379,0.48186,1.42385,0.67726,1.55123,0.000154096,0.000154096,0.000154096
89,33557,0.91725,0.51224,1.06136,0.86748,0.80604,0.87143,0.48227,1.42234,0.67848,1.54826,0.000143097,0.000143097,0.000143097
90,33939.5,0.90601,0.50261,1.06026,0.87502,0.78232,0.85315,0.47355,1.42729,0.66595,1.56892,0.000132098,0.000132098,0.000132098
91,34315,0.88618,0.46096,1.05255,0.80243,0.84003,0.83786,0.46223,1.43267,0.69022,1.57971,0.000121099,0.000121099,0.000121099
92,34688.6,0.85659,0.43358,1.03388,0.85265,0.80778,0.85436,0.47654,1.41211,0.66901,1.5478,0.0001101,0.0001101,0.0001101
93,35060.6,0.85466,0.43301,1.02624,0.86132,0.81349,0.85527,0.47118,1.41962,0.66587,1.55277,9.91012e-05,9.91012e-05,9.91012e-05
94,35430.7,0.84569,0.43142,1.0286,0.87686,0.80665,0.85293,0.47444,1.424,0.67984,1.56256,8.81023e-05,8.81023e-05,8.81023e-05
95,35804.1,0.8325,0.4206,1.02398,0.86844,0.80242,0.85141,0.47811,1.41922,0.68424,1.54308,7.71034e-05,7.71034e-05,7.71034e-05
96,36178.5,0.82341,0.42193,1.02099,0.81227,0.84085,0.84562,0.47396,1.42211,0.67588,1.552,6.61045e-05,6.61045e-05,6.61045e-05
97,36550.5,0.82318,0.41793,1.01603,0.88389,0.81403,0.8542,0.47538,1.41852,0.6707,1.55543,5.51056e-05,5.51056e-05,5.51056e-05
98,36917.8,0.81621,0.41742,1.01315,0.8677,0.81156,0.85848,0.48026,1.42295,0.67042,1.56217,4.41067e-05,4.41067e-05,4.41067e-05
99,37290.8,0.80653,0.41336,1.00896,0.87502,0.80875,0.85702,0.4771,1.41464,0.66942,1.55567,3.31078e-05,3.31078e-05,3.31078e-05
100,37662.1,0.80817,0.41304,1.01156,0.87675,0.80977,0.85536,0.47605,1.42183,0.67618,1.56916,2.21089e-05,2.21089e-05,2.21089e-05
